Medicion,Tiempo,temperatura
1,0.000,101.200
2,2.000,101.200
3,4.000,101.300
4,6.000,101.700
5,8.000,102.000
6,10.000,102.100
7,12.000,102.100
8,14.000,102.000
9,16.000,101.900
10,18.000,101.600
11,20.000,101.300
12,22.000,101.100
13,24.000,100.900
14,26.000,100.600
15,28.000,100.400
16,30.000,100.200
17,32.000,7100.000
18,34.000,99.700
19,36.000,99.600
20,38.000,99.300
21,40.000,99.100
22,42.000,99.000
23,44.000,98.900
24,46.000,98.700
25,48.000,98.500
26,50.000,98.400
27,52.000,98.200
28,54.000,97.900
29,56.000,97.600
30,58.000,97.400
31,60.000,97.100
32,62.000,97.000
33,64.000,96.800
34,66.000,96.600
35,68.000,96.500
36,70.000,96.400
37,72.000,96.200
38,74.000,96.000
39,76.000,95.900
40,78.000,95.600
41,80.000,95.400
42,82.000,95.200
43,84.000,95.000
44,86.000,94.800
45,88.000,94.600
46,90.000,94.500
47,92.000,94.300
48,94.000,94.200
49,96.000,94.000
50,98.000,93.800
51,100.000,93.700
52,102.000,93.600
53,104.000,93.500
54,106.000,93.500
55,108.000,93.400
56,110.000,93.200
57,112.000,93.100
58,114.000,93.000
59,116.000,92.800
60,118.000,92.500
61,120.000,92.300
62,122.000,92.200
63,124.000,92.000
64,126.000,91.700
65,128.000,91.600
66,130.000,91.500
67,132.000,91.400
68,134.000,91.200
69,136.000,91.200
70,138.000,91.000
71,140.000,90.800
72,142.000,90.800
73,144.000,90.600
74,146.000,90.400
75,148.000,90.400
76,150.000,90.200
77,152.000,90.200
78,154.000,90.000
79,156.000,89.900
80,158.000,89.800
81,160.000,89.900
82,162.000,89.800
83,164.000,89.600
84,166.000,89.600
85,168.000,89.400
86,170.000,89.200
87,172.000,88.900
88,174.000,88.800
89,176.000,88.500
90,178.000,88.400
91,180.000,88.300
92,182.000,88.200
93,184.000,88.100
94,186.000,88.100
95,188.000,88.000
96,190.000,88.000
97,192.000,87.800
98,194.000,87.600
99,196.000,87.600
100,198.000,87.300
101,200.000,87.100
102,202.000,87.000
103,204.000,86.900
104,206.000,86.800
105,208.000,86.600
106,210.000,86.500
107,212.000,86.400
108,214.000,86.300
109,216.000,86.100
110,218.000,86.100
111,220.000,86.000
112,222.000,85.800
113,224.000,85.700
114,226.000,85.900
115,228.000,85.400
116,230.000,85.300
117,232.000,85.200
118,234.000,852.000
119,236.000,85.100
120,238.000,85.000
121,240.000,84.900
122,242.000,84.800
123,244.000,84.700
124,246.000,84.500
125,248.000,84.400
126,250.000,84.200
127,252.000,84.100
128,254.000,84.000
129,256.000,84.000
130,258.000,83.900
131,260.000,83.700
132,262.000,83.500
133,264.000,83.400
134,266.000,83.200
135,268.000,83.100
136,270.000,83.000
137,272.000,82.800
138,274.000,82.700
139,276.000,82.600
140,278.000,82.400
141,280.000,82.300
142,282.000,82.200
143,284.000,82.100
144,286.000,82.000
145,288.000,82.000
146,290.000,82.000
147,292.000,82.000
148,294.000,82.000
149,296.000,81.800
150,298.000,81.700
151,300.000,81.600
152,302.000,81.500
153,304.000,81.400
154,306.000,81.300
155,308.000,81.100
156,310.000,81.000
157,312.000,81.000
158,314.000,80.900
159,316.000,80.700
160,318.000,80.600
161,320.000,80.600
162,322.000,80.500
163,324.000,80.300
164,326.000,80.200
165,328.000,80.200
166,330.000,80.100
167,332.000,80.000
168,334.000,79.800
169,336.000,79.700
170,338.000,79.600
171,340.000,79.500
172,342.000,79.400
173,344.000,79.300
174,346.000,79.300
175,348.000,79.200
176,350.000,79.100
177,352.000,79.000
178,354.000,78.900
179,356.000,78.900
