Medicion,Tiempo,Temperatura
1,00:00:00,101.2
2,00:00:10,102.1
3,00:00:20,101.3
4,00:00:30,100.2
5,00:00:40,99.1
6,00:00:50,98.4
7,00:01:00,97.1
8,00:01:10,96.4
9,00:01:20,95.4
10,00:01:30,94.5
11,00:01:40,93.7
12,00:01:50,93.2
13,00:02:00,92.3
14,00:02:10,91.5
15,00:02:20,90.8
16,00:02:30,90.2
17,00:02:40,89.9
18,00:02:50,89.2
19,00:03:00,88.3
20,00:03:10,88.0
21,00:03:20,87.1
22,00:03:30,86.5
23,00:03:40,86.0
24,00:03:50,85.3
25,00:04:00,84.9
26,00:04:10,84.2
27,00:04:20,83.7
28,00:04:30,83.0
29,00:04:40,82.3
30,00:04:50,82.0
31,00:05:00,81.6
32,00:05:10,81.0
33,00:05:20,80.6
34,00:05:30,80.1
35,00:05:40,79.5
36,00:05:50,79.1
37,00:06:00,78.8
38,00:06:10,78.2
39,00:06:20,77.9
40,00:06:30,77.5
41,00:06:40,77.3
42,00:06:50,76.7
43,00:07:00,76.5
44,00:07:10,75.9
45,00:07:20,75.9
46,00:07:30,75.2
47,00:07:40,74.8
48,00:07:50,74.4
49,00:08:00,73.9
50,00:08:10,73.6
51,00:08:20,73.6
52,00:08:30,73.1
53,00:08:40,72.8
54,00:08:50,72.3
55,00:09:00,72.0
56,00:09:10,71.5
57,00:09:20,71.2
58,00:09:30,71.0
59,00:09:40,70.7
60,00:09:50,70.3
61,00:10:00,70.1
62,00:10:10,69.7
63,00:10:20,69.6
64,00:10:30,69.1
65,00:10:40,68.8
66,00:10:50,68.6
67,00:11:00,68.3
68,00:11:10,68.0
69,00:11:20,67.7
70,00:11:30,67.5
71,00:11:40,67.3
72,00:11:50,66.8
73,00:12:00,66.5
74,00:12:10,66.3
75,00:12:20,66.0
76,00:12:30,65.8
77,00:12:40,65.6
78,00:12:50,65.2
